Product Name,Vendor Name,Price,Category,Location,Season,Competitor Price,Inventory Levels (kg),Perishability,Weather,Local Event,Customer Segment
Potato ,Instamart,61.0,High-scale,Bangalore,winter,59.46938944993782,269,3,rainy,No,high-spender
Carrot,Instamart,122.0,High-scale,Bangalore,winter,132.99742907640194,440,2,cold,No,high-spender
Onion,Instamart,68.0,High-scale,Bangalore,"summer, winter",71.15511760863512,212,1,hot,No,occasional-buyer
Garlic ,Instamart,480.0,High-scale,Bangalore,"fall, summer",489.47121448291557,488,3,cold,No,bulk-buyer
Tomato ,Instamart,46.0,High-scale,Bangalore,summer,42.835371492070415,269,3,moderate,No,bulk-buyer
Brinjal,Instamart,68.0,High-scale,Bangalore,"summer, monsoon",63.32152547657236,319,2,cold,Yes,high-spender
Cauliflower,Instamart,80.0,High-scale,Bangalore,winter,72.9293377946912,169,1,rainy,No,bulk-buyer
Apple,Instamart,346.5,High-scale,Bangalore,"summer, fall",371.8760069022031,443,1,rainy,No,budget-conscious
Banana ,Instamart,78.0,High-scale,Bangalore,summer,79.57739418319406,385,5,hot,No,occasional-buyer
Orange ,Instamart,160.0,High-scale,Bangalore,winter,166.65832248947345,449,3,rainy,Yes,high-spender
Grapes,Instamart,600.0,High-scale,Bangalore,summer,542.4701393154962,231,1,cold,No,budget-conscious
Pomegranate ,Instamart,404.0,High-scale,Bangalore,"fall, winter",441.9687160546892,155,1,moderate,No,bulk-buyer
Pineapple,Instamart,124.0,High-scale,Bangalore,"summer, monsoon",132.24457749185046,266,4,rainy,No,budget-conscious
Kiwi,Instamart,640.0,High-scale,Bangalore,"fall, winter",603.1794061668194,254,4,hot,Yes,bulk-buyer
Potato ,Blinkit,59.0,High-scale,Mumbai,winter,55.245534613043795,119,1,cold,Yes,high-spender
Carrot,Blinkit,132.0,High-scale,Mumbai,winter,123.64187906013065,93,5,hot,No,budget-conscious
Onion,Blinkit,64.0,High-scale,Mumbai,"summer, winter",61.49430070988208,378,1,rainy,Yes,occasional-buyer
Garlic ,Blinkit,525.0,High-scale,Mumbai,"fall, summer",527.599425321385,350,2,rainy,No,high-spender
Tomato ,Blinkit,52.0,High-scale,Mumbai,summer,51.292228193878,277,3,hot,Yes,budget-conscious
Brinjal,Blinkit,98.0,High-scale,Mumbai,"summer, monsoon",93.90809114788163,233,5,cold,No,budget-conscious
Cauliflower,Blinkit,84.0,High-scale,Mumbai,winter,85.87912863133597,156,2,rainy,Yes,bulk-buyer
Apple,Blinkit,364.0,High-scale,Mumbai,"summer, fall",337.75515305546867,133,5,moderate,No,high-spender
